cik_str,ticker,title,sicDescription,exchanges,entityType,ownerOrg,insiderTransactionForOwnerExists,insiderTransactionForIssuerExists
0001045810,NVDA,NVIDIA CORP,Semiconductors & Related Devices,['Nasdaq'],operating,04 Manufacturing,1,1
0000320193,AAPL,Apple Inc.,Electronic Computers,['Nasdaq'],operating,06 Technology,0,1
0001652044,GOOGL,Alphabet Inc.,"Services-Computer Programming, Data Processing, Etc.","['Nasdaq', 'Nasdaq']",operating,06 Technology,1,1
0000789019,MSFT,MICROSOFT CORP,Services-Prepackaged Software,['Nasdaq'],operating,06 Technology,1,1
0001018724,AMZN,AMAZON COM INC,Retail-Catalog & Mail-Order Houses,['Nasdaq'],operating,07 Trade & Services,1,1
0001326801,META,"Meta Platforms, Inc.","Services-Computer Programming, Data Processing, Etc.",['Nasdaq'],operating,06 Technology,0,1
0001318605,TSLA,"Tesla, Inc.",Motor Vehicles & Passenger Car Bodies,['Nasdaq'],operating,04 Manufacturing,0,1
0001730168,AVGO,Broadcom Inc.,Semiconductors & Related Devices,['Nasdaq'],operating,04 Manufacturing,0,1
0001067983,BRK-B,BERKSHIRE HATHAWAY INC,"Fire, Marine & Casualty Insurance","['NYSE', 'NYSE']",operating,02 Finance,1,1
0000104169,WMT,Walmart Inc.,Retail-Variety Stores,['Nasdaq'],operating,07 Trade & Services,1,1
0000059478,LLY,ELI LILLY & Co,Pharmaceutical Preparations,['NYSE'],operating,03 Life Sciences,1,1
0000019617,JPM,JPMORGAN CHASE & CO,National Commercial Banks,"['NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE', 'NYSE']",operating,02 Finance,1,1
0000884394,SPY,SPDR S&P 500 ETF TRUST,,['NYSE'],other,,0,0
0000034088,XOM,EXXON MOBIL CORP,Petroleum Refining,['NYSE'],operating,01 Energy & Transportation,1,1
0001403161,V,VISA INC.,"Services-Business Services, NEC",['NYSE'],operating,07 Trade & Services,0,1
0000200406,JNJ,JOHNSON & JOHNSON,Pharmaceutical Preparations,['NYSE'],operating,03 Life Sciences,1,1
0000937966,ASML,ASML HOLDING NV,"Special Industry Machinery, NEC","['Nasdaq', 'OTC']",other,06 Technology,0,0
0000723125,MU,MICRON TECHNOLOGY INC,Semiconductors & Related Devices,['Nasdaq'],operating,04 Manufacturing,0,1
